"CycID","PhaseShift","PhaseShiftHeight","PeakIndex","PeakSPD","Period","p","N","Nindependent","Nyquist","BH.Q","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG0001H","27.3193715259958","0.864562883626109","43","3.30268710232546","22.875816993464","0.450993322710233","19","16","0.175925925925926","1","1.09999045","0.525149264","0.596029208","0.177032928","0.355360678","0.541376714","0.527558031","0.704676894","1.811038606","0.476240446","0.696134428","0.57491592","0.816638439","0.75826988","1.06891267","0.893157951","1.038222703","0.538570562","0.594841595"
"VNG0002G","41.964860907485","1.02502231803019","41","1.60720001181184","23.0769230769231","0.972103692819564","19","16","0.175925925925926","1","1.20196748","0.670727426","0.460075066","0.36745456","0.731238418","0.522076452","0.410524242","0.509882085","0.767500505","0.565248226","0.621008537","0.524803208","1.094483091","0.971206147","1.249052541","0.841769049","1.367829102","0.75782256","0.556632211"
"VNG0003C","41.9092649240516","0.708156953797555","33","1.71055367382659","23.9179954441913","0.958834802086141","19","16","0.175925925925926","1","0.603140779","0.368800349","0.23067035","0.182456529","0.360800429","0.373167267","0.432280721","0.415642648","0.566275756","0.383557955","0.530184247","0.529172413","0.751091579","0.615362644","0.886698647","0.664127849","0.728345427","0.55044022","0.552031944"
"VNG0005H","7.5987093451611e-05","1.3826468940822","21","1.61524794643236","25.3012048192771","0.971193114247663","19","16","0.175925925925926","1","1.231936205","1.667560869","0.966392136","1.025145966","1.312410038","0.899945273","0.973175317","1.007631924","1.078114154","1.121736711","0.914027803","1.001964118","0.87317111","0.927165994","0.712987918","1.181005439","0.67849519","1.405447808","1.063383809"
"VNG0006G","18.2151595635063","1.33516968622312","76","1.98811997403154","20","0.905255521689244","19","16","0.175925925925926","1","0.826648923","1.064794106","0.949855331","0.57433184","1.352897507","1.761478018","1.44943862","1.078661393","1.232884549","1.034290897","0.874750497","1.306396521","0.776654142","0.701833227","0.573308387","0.735138852","0.579593041","0.809040335","1.287018847"
"VNG0008G","27.2325012781524","1.29978871404307","44","1.20872491589402","22.7765726681128","0.996567009319483","19","16","0.175925925925926","1","1.121877183","1.179076586","1.128799205","0.667866512","0.807130757","1.192335472","1.095097872","1.268075974","1.597915797","1.006684292","1.393417977","1.018717102","1.383414894","1.196751829","1.044230689","0.997062598","1.315000557","1.020839232","0.98685404"
"VNG0009G","6.19521419000904e-05","1.03737218351119","1","0.592391204729502","28","0.999997459798515","19","16","0.175925925925926","1","1.036859026","0.935798249","1.241207158","0.560632938","1.110440013","0.743784977","0.803323699","1.10656987","0.959786802","0.635555262","0.77352368","0.993691226","0.816638439","0.615362644","0.696524501","0.681210154","0.705752907","0.68951146","0.651698467"
"VNG0011C","32.9120170801123","1.45372343192877","5","2.01105597359159","27.4151436031332","0.899651304668633","19","16","0.175925925925926","1","1.530060581","2.044722841","1.090497938","1.129075133","1.611158161","1.170889015","1.127894289","1.404494682","1.28926333","1.367896614","1.548324229","1.63415893","1.272376156","1.474676559","1.094178047","1.588285145","1.063050908","1.661113306","1.73513547"
"VNG0013C","35.9105190140312","0.894105101675011","76","2.53163283156394","20","0.734440808483387","19","16","0.175925925925926","1","1.073231507","1.179076586","0.901923484","0.588365471","0.748092869","1.192335472","0.634405412","0.681080464","0.831827487","0.641312624","0.67802856","0.828010317","1.076320647","0.885122878","1.060621193","0.449918557","0.722630382","0.310025962","0.857003917"
"VNG0014C","36.3193418325121","1.97453723228339","15","2.99457137020039","26.0545905707196","0.560303652925425","19","16","0.175925925925926","1","0.972548817","1.445755217","1.341454434","2.233077845","1.751561521","1.52340495","2.429239993","1.404494682","1.040229991","1.510547705","2.200207187","2.061172227","1.50414385","1.874240879","2.104600279","2.3051188","0.952045129","1.066332015","1.352725427"
"VNG0015H","30.4489422573392","0.984730458224237","1","1.07417296031741","28","0.998752482158372","19","16","0.175925925925926","1","0.822587308","0.935798249","0.909740767","0.840021429","0.925386129","0.743784977","1.119604234","0.886815729","0.901545946","1.101686412","0.874750497","1.097640246","0.910474571","0.87153652","1.155477428","0.766922967","0.813268451","1.155065975","1.544812038"
"VNG0016H","31.8583278684891","0.907047126659048","13","1.01695577919025","26.3157894736842","0.999240620112665","19","16","0.175925925925926","1","1.078530705","1.094139438","0.785601513","1.000694293","0.98336261","0.778312911","0.729861283","0.925385942","0.733938127","1.152498432","1.024601409","0.743406693","0.624815302","1.273139534","0.669925914","0.766922967","1.013974375","0.87001886","1.003370139"
"VNG0017H","53.9999240129066","1.54325195699915","76","1.73952026693897","20","0.954483510761361","19","16","0.175925925925926","1","0.437902255","0.670727426","0.871320334","1.258641711","0.975921426","1.225243943","1.376489077","1.135200431","0.977107759","1.367896614","1.781978983","1.977473682","0.837396026","1.656081087","0.707457323","1.285335888","2.630206356","0.820884155","1.623679816"
"VNG0018H","36.4695545872174","1.67168864646373","38","3.31635562264184","23.3853006681514","0.446421583181239","19","16","0.175925925925926","1","1.016630914","1.03623583","1.462364179","1.701984768","1.244450642","1.565450942","1.91843338","1.246664148","0.985885107","1.594532097","1.298856211","1.881509557","1.823325897","1.668939469","1.425848613","1.642987913","1.114502754","1.522401016","1.386826165"
"VNG0019H","7.5987093451611e-05","1.14672855554914","17","3.80667315757802","25.7985257985258","0.302017895256208","19","16","0.175925925925926","1","1.094585812","0.90453096","1.230541628","0.584825238","0.463584287","0.576884855","0.57639025","0.574434324","0.444799384","0.879318562","0.530184247","0.34959201","0.425208366","0.344514119","0.253096571","0.528429318","0.403412043","0.741480923","1.117673079"
"VNG0020H","35.4812285848075","1.67460461177125","44","1.81999215000983","22.7765726681128","0.94088737837645","19","16","0.175925925925926","1","0.779205308","0.794950389","0.991738726","1.722653024","1.322416873","1.247685987","1.64310586","1.125575536","1.255134011","1.380288103","1.750944958","2.373156718","1.049640535","1.761787409","1.182788895","1.803331538","1.079932034","0.922094564","1.610260974"
"VNG0021H","16.2297962682056","1.32408147648324","1","1.37891637719242","28","0.990365999788349","19","16","0.175925925925926","1","1.021650641","1.701911491","0.596029208","1.043876017","1.562941859","1.329519966","1.742996317","1.225613867","0.602857791","1.284215727","1.006757481","1.115992948","0.368832369","0.819244786","0.664729348","1.329604659","0.552835699","3.337035235","1.764174892"
"VNG0022H","36.2582808136153","1.6337938834719","33","1.96282053925446","23.9179954441913","0.911234570449984","19","16","0.175925925925926","1","0.855647342","1.203364763","2.433241809","1.651392524","1.153424823","1.565450942","1.024750514","1.194703015","0.89351947","1.367896614","2.258960849","1.580852811","1.304717836","1.605630633","1.21074591","2.064900626","1.357096277","0.895678325","2.170924645"
"VNG0023H","35.9976395597661","1.67610244321147","57","0.693980180281882","21.5605749486653","0.999984536652108","19","16","0.175925925925926","1","0.682175625","1.228153261","1.664466134","0.919615811","1.093698021","1.35387197","1.460170918","1.908290874","0.885564455","0.988690479","1.720451406","2.599766076","1.50414385","1.253597242","1.382119903","1.881299526","1.046433662","1.511378416","1.544812038"
"VNG0024H","36.475016529149","1.82824853621235","10","2.25539547853061","26.7175572519084","0.829990892892759","19","16","0.175925925925926","1","0.775376799","1.406979386","1.449798276","2.246595754","1.263500309","1.088891979","1.730185244","1.440833526","0.951241808","1.238717017","1.632120277","2.412836239","1.430497876","2.327432375","0.966000189","2.04749421","1.234685912","1.18052269","1.145848403"
"VNG0025H","13.4105345859688","1.41540538390857","53","1.98632728365007","21.9206680584551","0.905686223983657","19","16","0.175925925925926","1","0.433609692","0.942180229","0.561089074","1.446061463","2.762839709","1.149828313","0.973175317","1.069515869","0.767500505","1.081994499","0.67802856","1.253347345","0.614446779","1.273139534","0.776753709","1.122517334","0.915275069","1.197804768","1.145848403"
"VNG0026C","33.3959981953093","2.26118099854016","16","0.503623996798584","25.9259259259259","0.999999639243189","19","16","0.175925925925926","1","1.213866478","0.988089526","0.958088056","0.942086355","1.118906871","1.36621473","1.396948838","1.708330311","2.935318909","1.713819288","1.878420537","1.820134882","3.330352182","1.933131325","2.121053132","1.913422574","2.19433369","2.205349273","1.48202327"
