"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","0","3","6","9","12","15","18","21","24"
"VNG0001H","0.936721945954983","0.978299682459512","24","10.0241504863114","0.0196904265496632","1","1","27","10.5","0.0627781230233866","0.889450132840803","0.99999995435067","28","4.77262471214414e-05","0.795613954007351","0.999115683257972","0.999999992560902","26.3333333333333","8.71811101249911","0.731735296650492","0.0241997665898232","0.0241997665898232","0.806468696","0.751501767","0.84028344","0.701893813","0.78566864","0.81244018","0.483186821","0.799087986","0.601196339"
"VNG0002G","0.319488691403624","0.76200173912644","27.4678899082569","12.0257013633608","0.0916731501288828","1","1","21","12","0.110499618415322","0.597575378355932","0.99999995435067","28","14.5897545621393","0.702602462094407","0.76881465334002","0.999999992560902","25.4892966360856","13.0106293813909","0.557665910620174","0.0888042594993916","0.0888042594993916","0.318059737","0.566538804","0.490021899","0.510380741","0.62122715","0.82943498","0.484401208","0.5882862","0.566556295"
"VNG0003C","0.118015207163406","0.670557849347464","25.3728813559322","24.0482091012245","0.0958921222871931","0.303968253968254","1","27","25.5","0.125868259742399","0.336121636450364","0.99999995435067","28","23.9999526313781","0.763658163937486","0.183006974509449","0.999999992560902","26.7909604519774","24.5622343226604","0.610493506572753","0.101969384659054","0.101969384659054","0.743705298","0.537659564","0.565700698","0.536345715","0.476668368","0.662796725","0.513190217","0.714444954","0.751045148"
"VNG0005H","0.47517001996938","0.802359060393298","20.5068493150685","11.3396205000127","0.0490662140077891","1","1","27","10.5","0.0632495574783647","0.491819238290558","0.99999995435067","28","5.71128431668335","0.983979858600469","0.820369615204529","0.999999992560902","25.1689497716895","9.66274119853414","0.904293859149693","0.0512460934269603","0.0512460934269603","0.975992259","0.885373467","1.065440641","0.918539871","0.903069682","0.962094012","0.891473661","0.686762727","0.823407076"
"VNG0006G","0.119987347342589","0.670557849347464","25.1596638655462","0.367812310969987","0.193009056570878","1","1","27","25.5","0.224463217187175","0.419598317514493","0.99999995435067","28","15.0976764155979","0.770666649707821","0.425698092368872","0.999999992560902","26.7198879551821","24.7085576683569","0.860843832764366","0.190576827771968","0.190576827771968","0.988830008","1.021489918","0.835372242","0.650696526","0.661494981","0.952186533","0.561724417","0.879163343","1.214589254"
"VNG0008G","0.693089706493656","0.867265534715732","20.3673469387755","15.9528255525299","0.0772510354851487","1","1","21","19.5","0.102134435415557","0.985011055688045","0.99999995435067","20","13.0437634582339","1.03521638314237","0.993019383736783","0.999999992560902","20.4557823129252","16.1042581048852","0.925504211315102","0.0805425102601467","0.0805425102601467","1.031056544","0.98303974","0.740784475","0.885561381","0.888394275","1.246247864","0.686648167","0.896707083","0.92442663"
"VNG0009G","0.632194591114754","0.845312228975235","24.95","2.45193019683759","0.077017143945123","1","1","27","6","0.110684768669121","0.522298983021658","0.99999995435067","28","11.4666634651385","1.25477810135151","0.898785106698805","0.999999992560902","26.65","6.36784143550278","1.18590059256591","0.0605362527463258","0.0510466502216218","1.436925316","1.25489795","1.251808156","1.140879653","1.309200547","1.13539019","0.780425144","1.118077954","1.243766164"
"VNG0011C","0.898995979145325","0.962013298025551","22.1777777777778","13.0749240702238","0.0289726290560191","1","1","27","6","0.122175406598468","0.94250384051077","0.99999995435067","28","11.8197610574867","1.21049675891337","0.999330100489383","0.999999992560902","25.7259259259259","10.6728000134598","1.09428681709992","0.00493585562576922","0.00451056848043754","1.325096655","1.09147966","1.004781466","1.117290032","1.294978339","1.041556497","0.961197488","0.905609802","1.104567401"
"VNG0013C","0.867345503955699","0.948319725416132","24","7.68691034256361","0.01847750569299","1","1","21","10.5","0.0441975141965935","0.997345097970799","0.99999995435067","20","7.13474011748719","0.434144894165461","0.999544287870915","0.999999992560902","21.6666666666667","8.45753882163748","0.396699173389787","0.0240013122817348","0.0240013122817348","0.379920117","0.282996241","0.504596589","0.415230658","0.340681348","0.423229925","0.36477052","0.440284683","0.398008351"
"VNG0014C","0.400895020841615","0.793196988481702","23.2093023255814","13.1784092066898","0.30059819725091","1","1","21","10.5","0.409679239695447","0.769496242743748","0.99999995435067","20","12.0479605007376","3.26166491203148","0.884633650006839","0.999999992560902","21.4031007751938","11.9200074751586","2.87695849808866","0.304619993988509","0.105882651484506","2.910036718","1.94071067","2.911574023","2.906011526","3.180018824","3.436854409","2.325631291","3.154830832","2.603849026"
